名稱,斷詞結果_0,斷詞結果_1,斷詞結果_2,斷詞結果_3,斷詞結果_4,斷詞結果_5,斷詞結果_6,斷詞結果_7,斷詞結果_8,斷詞結果_9,斷詞結果_10,斷詞結果_11,斷詞結果_12,斷詞結果_13,斷詞結果_14,斷詞結果_15,斷詞結果_16,斷詞結果_17,斷詞結果_18,斷詞結果_19,斷詞結果_20,斷詞結果_21,斷詞結果_22,斷詞結果_23,斷詞結果_24,斷詞結果_25,斷詞結果_26,斷詞結果_27,斷詞結果_28,斷詞結果_29,斷詞結果_30,斷詞結果_31,斷詞結果_32,斷詞結果_33,斷詞結果_34,斷詞結果_35,斷詞結果_36,斷詞結果_37,斷詞結果_38,斷詞結果_39,斷詞結果_40,斷詞結果_41,斷詞結果_42,斷詞結果_43,斷詞結果_44,斷詞結果_45,斷詞結果_46,斷詞結果_47,斷詞結果_48,斷詞結果_49,斷詞結果_50,斷詞結果_51,斷詞結果_52,斷詞結果_53,斷詞結果_54
熱敏電阻與銅電極開發,熱敏,電阻,與,銅電,極,開發,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103年度烈嶼鄉海岸生態復育及整體景觀規劃－烈嶼玄武岩海岸監測,103年度,烈嶼鄉,海岸,生態,復育,及,整體,景觀,規劃,－,烈嶼,玄武岩,海岸,監測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
長春石油化學股份有限公司優質企業(AEO)制度輔導建置,長春,石油,化學,股份,有限公司,優質,企業,(,AEO,),制度,輔導,建置,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
長春人造樹脂廠股份有限公司優質企業(AEO)制度輔導建置,長春,人造,樹脂廠,股份,有限公司,優質,企業,(,AEO,),制度,輔導,建置,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大連化學工業股份有限公司優質企業(AEO)制度輔導建置,大連,化學,工業,股份,有限公司,優質,企業,(,AEO,),制度,輔導,建置,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雲林縣斗六糖廠文化景觀保存維護計畫暨保存計畫整體規劃研究,雲林縣,斗六,糖廠,文化,景觀,保存,維護,計畫,暨,保存,計畫,整體,規劃,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnetic　field　effect　in　conjugated　molecules-based　devices,Magnetic　field　effect　in　conjugated　molecules-based　devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商用貿易日文基礎班,商用,貿易,日文,基礎班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商用貿易英文班,商用,貿易,英文班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103年科技委辦計畫品質管理與推廣計畫,103年,科技,委辦,計畫,品質,管理,與,推廣,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高分子材料特性量測及其於封裝翹曲與可靠度模擬應用,高分子,材料,特性,量測,及,其,於,封裝,翹曲,與,可靠度,模擬,應用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺南市溪南地區里民避難空間使用風險評估之研究,臺南市,溪南,地區,里民,避難,空間,使用,風險,評估,之,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
透過冷壓技術資源化脫硫碴礦物細料作為高壓地磚之研究計畫,透過,冷壓,技術,資源,化脫,硫碴,礦物,細料,作為,高壓,地磚,之,研究,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多重濾材過濾阻抗改質之研究,多重,濾材,過濾,阻抗,改質,之,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
城鄉交通系統對長者活躍老化之影響(103-105年),城鄉,交通,系統,對,長者,活躍,老化,之,影響,(,103,-,105年,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東琳精密股份有限公司優質企業AEO制度輔導建置,東琳,精密,股份,有限公司,優質,企業,AEO,制度,輔導,建置,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺南市產業創意行動論壇與總體規劃,臺南市,產業,創意,行動,論壇,與,總體,規劃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
塗層材料與膜厚檢測,塗層,材料,與,膜厚,檢測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103年臺南市低碳永續家園運作及成效管考計畫,103年,臺南市,低碳,永續,家園,運作,及,成效,管考,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
氣相成長碳纖維產率檢驗,氣相,成長,碳纖維,產率,檢驗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
化妝品上市風險之安全性研究,化妝品,上市,風險,之,安全性,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國有林防災應變及堰塞湖監測系統強化暨緊急災害調查評估,國有,林防災,應變,及,堰塞湖,監測,系統,強化,暨,緊急,災害,調查,評估,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國有林大規模崩塌潛勢區判釋評估與簡易觀測分析,國有,林,大規模,崩塌,潛勢區,判釋,評估,與,簡易,觀測,分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
智慧型可拋棄呼吸治療器性能檢定計畫,智慧型,可,拋棄,呼吸,治療器,性能,檢定,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103年臺南市推動ESCO專案計畫(契約編號：103ECON039號）,103年,臺南市,推動,ESCO,專案,計畫,(,契約,編號,：,103,ECON039,號,）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
色料與活性反應物之Mesoporous　silica微粒包覆(採購單號:3000406054),色料,與,活性,反應物,之,Mesoporous　silica,微粒,包覆,(,採購,單號,:3000406054),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
核能安全緊急應變自我治理之研究,核能,安全,緊急,應變,自我,治理,之,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有害空氣污染物管制作業工具需求分析研究,有害,空氣,污染物,管制,作業,工具,需求,分析,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日月光半導體製造股份有限公司中壢分公司AEO制度輔導建置,日月光,半導體,製造,股份,有限公司,中壢,分公司,AEO,制度,輔導,建置,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
改質轉爐石道碴工程性能試驗研究,改質,轉,爐石,道碴,工程,性能,試驗,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
環境生態基本資料收集分析,環境,生態,基本,資料,收集,分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
應用SiC-MOSFET於太陽能發電系統之效能分析與研究,應用,SiC-MOSFET,於,太陽能,發電,系統,之,效能,分析,與,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
感光型polybenzoxazole材料研究,感光型,polybenzoxazole,材料,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
低介電損耗PBO材料之開發研究,低介電,損耗,PBO,材料,之,開發,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高溫質子交換膜用PBI材料之開發研究,高溫,質子,交換膜,用,PBI,材料,之,開發,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
改質轉爐石多孔隙瀝青混凝土鋪面之成效評估,改質,轉,爐石,多,孔隙,瀝青,混凝土,鋪面,之,成效,評估,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
針對創客市場的運動控制軟硬體開發,針對,創客,市場,的,運動,控制,軟硬體,開發,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
瀝青坑洞修補貼片介面剪力強度暨加速壽命試驗,瀝青,坑洞,修補,貼片,介面,剪力,強度,暨,加速,壽命,試驗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第七屆璐彩特壓克力製品設計競賽,第七,屆,璐彩,特,壓,克力,製品,設計,競賽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鋁屑重熔精煉研製計畫,鋁屑,重熔,精煉,研製,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資安網際情資探勘技術,資安,網際,情資,探勘,技術,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
食鹽加氟風險評估,食鹽,加,氟,風險,評估,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中小型住宿業者智慧化管理服務,中小型,住宿,業者,智慧化,管理,服務,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
垃圾車鋰電池啟動電池節能專案,垃圾車,鋰電池,啟動,電池,節,能,專案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103年進口鹽品試驗委託檢測研究,103年,進口,鹽品,試驗,委託,檢測,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
脫硫渣礦物細料應用於建材開發之可行性研究,脫硫渣,礦物,細料,應用,於,建材,開發,之,可行性,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
財團法人台灣建築中心實驗室未來發展策略及營運計畫,財團,法人,台灣,建築,中心,實驗室,未來,發展,策略,及,營運,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
設計人才培育合作計畫,設計,人才,培育,合作,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
城市空間策展計畫,城市,空間,策展,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蚵子寮漁港暨中芸漁港靜穩度改善研究分析－蚵子寮漁港水工模型遮蔽試驗、地形淤砂數值模擬分析及中芸漁港港區波高觀測分析,蚵子寮,漁港,暨,中芸,漁港,靜穩度,改善,研究,分析,－,蚵子寮,漁港,水工,模型,遮蔽,試驗,、,地形,淤砂,數值,模擬,分析,及,中芸,漁港,港區,波高,觀測,分析,,,,,,,,,,,,,,,,,,,,,,,,,,
大統益股份有限公司103年度製造業節能減碳服務團計晝之耗能設備效率提升輔導分包計畫暨企業社會責任(CSR)報告書輔導計畫,大統益,股份,有限公司,103年度,製造業節,能,減,碳,服務,團,計晝,之,耗能,設備,效率,提升,輔導,分包,計畫,暨,企業,社會,責任,(,CSR,),報告書,輔導,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,
南部地區低碳永續社區之建構推廣及參與評等認證作業,南部,地區,低碳,永續,社區,之,建構,推廣,及,參與,評等,認證,作業,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
創新能源效率評估服務系統開發計畫,創新,能源,效率,評估,服務,系統,開發,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海氣象資料蒐集與分析,海氣象,資料,蒐集,與,分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
健全水井管理策略與查察管理技術提昇研究計畫(3/3),健全,水井,管理,策略,與,查察,管理,技術,提昇,研究,計畫,(,3/3,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
茂林區石板屋傳統聚落風貌復育總體規劃,茂林區,石板屋,傳統,聚落,風貌,復育,總體,規劃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研訂雲林縣虎尾都市計畫糖業風貌專用區都市設計準則案,研訂,雲林縣,虎尾,都市,計畫,糖業,風貌,專用區,都市,設計,準則案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
『新型氫化觸媒研究』委託研究(EEA0315001),『,新型,氫化,觸媒,研究,』,委託,研究,(,EEA,0315001,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
材料物性鑑定及諮詢合作計畫,材料,物性,鑑定,及,諮詢,合作,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
點數於智慧卡、個人智慧裝置與後台系統之間傳輸方式之研究,點數,於,智慧卡,、,個人,智慧,裝置,與,後台,系統,之間,傳輸,方式,之,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
以飲酒、作畫、吟詩精神打造深度品評白酒產業計畫教育訓練,以,飲酒,、,作畫,、,吟詩,精神,打造,深度,品評,白酒,產業,計畫,教育,訓練,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金門地區地下水水資源調查與管理計畫─金門地區水井清查及深層地下水資源分析工作,金門,地區,地下水水,資源,調查,與,管理,計畫,─,金門,地區,水井,清查,及,深層,地下水,資源,分析,工作,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺灣府城城垣及城門整合升格國定古蹟調查研究計畫,臺灣,府城,城垣,及,城門,整合,升格,國定,古蹟,調查,研究,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雷射積層製造及金屬粉末製造模擬勞務委託(採購單號︰3000408846),雷射,積層,製造,及,金屬,粉末,製造,模擬,勞務,委託,(,採購,單號,︰,3000408846,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
電源電路架構工程分析與模擬驗證:雜訊消除及抑制之電路,電源,電路,架構,工程,分析,與,模擬,驗證,:,雜訊,消除,及,抑制,之,電路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厚膜式晶片保險絲材料開發,厚膜式,晶片,保險絲,材料,開發,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小型燃燒爐生質料混燒前期測試一式,小型,燃燒爐,生質料,混燒,前期,測試,一,式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晶元光電股份有限公司優質企業(AEO)制度暨ISO　28000供應鏈安全管理系統輔導建置,晶元,光電,股份,有限公司,優質,企業,(,AEO,),制度,暨,ISO　,28000,供應鏈,安全,管理,系統,輔導,建置,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「高雄市低碳城市行動計畫」專案服務計畫技術服務委託,「,高雄市,低碳,城市,行動,計畫,」,專案,服務,計畫,技術,服務,委託,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銀髮樂齡事業策略規劃產學研究案,銀髮,樂齡,事業,策略,規劃,產學,研究案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
港都汽車客運股份有限公司營運改善策略之研究,港都,汽車,客運,股份,有限公司,營運,改善,策略,之,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水文地質模式(小尺度)、汙染傳輸模式(小尺度)(VOC+TPH)、地下水流模式(小尺度)(採購案號:3000408725),水文,地質,模式,(,小,尺度,),、,汙染,傳輸,模式,(,小,尺度,),(,VOC+TPH,),、,地下,水流,模式,(,小,尺度,),(,採購案號,:3000408725),,,,,,,,,,,,,,,,,,,,,,,,,,
材料結構測試與分析(分析報告)(採購案號：3000409574),材料,結構,測試,與,分析,(,分析,報告,),(,採購案號,：3000409574),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
營運管理諮詢服務-大唐興業有限公司,營運,管理,諮詢,服務,-,大唐,興業,有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
超低功耗SoC架構及系統功耗模擬器之開發合作計畫,超低功耗,SoC,架構,及,系統,功耗,模擬器,之,開發,合作,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED模組封裝散熱技術開發計畫之教育訓練,LED,模組,封裝,散熱,技術,開發,計畫,之,教育,訓練,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工藝計畫跨界合作-43懸臂椅跨界衍生應用工藝量產計畫,工藝,計畫,跨,界,合作,-43,懸臂椅,跨,界,衍生,應用,工藝,量產,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銀髮互動資訊平台(採購單號:3000409606),銀髮,互動,資訊,平台,(,採購,單號,:3000409606),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
興達泵室進水口減淤改善試驗一式(案號:5460300094),興達,泵室,進水口,減淤,改善,試驗,一,式,(,案號,:5460300094,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103年度能源產業因應氣候變遷調適輔導(2/2)專案計畫-能源供給領域氣候變遷調適資訊網路平台系統擴充與維護(完成一家發電廠環境現況調查與測量),103年度,能源,產業,因應,氣候,變遷,調適,輔導,(,2/2,),專案,計畫,-,能源,供給,領域,氣候,變遷,調適,資訊,網路,平台,系統,擴充,與,維護,(,完成,一,家,發電廠,環境,現況,調查,與,測量,),,,,,,,,,,,,,,,,,
風力發電機組營運產生之振動量測,風力,發電,機組,營運,產生,之,振動量,測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多目標生產排程系統開發委託(採購編號:3000409245),多目標,生產,排程,系統,開發,委託,(,採購,編號,:3000409245),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高功率多晶粒LED模組封裝散熱技術開發計畫,高功率,多晶粒,LED,模組,封裝,散熱,技術,開發,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
歷年曾文水庫衛星影像處理,歷年,曾文,水庫,衛星,影像,處理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
財務報表分析入門-台中班,財務,報表,分析,入門,-,台中班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
股票技術分析入門-台中班,股票,技術,分析,入門,-,台中班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
深耕台灣雲端未來學校與邁向國際舞台計畫,深耕,台灣,雲端,未來,學校,與,邁向,國際,舞台,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103年度生物性農業資材產業論壇,103年度,生物性,農業,資材,產業,論壇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103年度能源產業因應氣候變遷調適輔導(2/2)專案計畫-南部1家大型發電廠淹水模擬分析與災害潛勢圖資繪製,103年度,能源,產業,因應,氣候,變遷,調適,輔導,(,2/2,),專案,計畫,-,南部,1,家,大型,發電廠,淹水,模擬,分析,與,災害,潛勢,圖資,繪製,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103年度學研界醫療器材法規教育訓練計畫,103年度,學研界,醫療,器材,法規,教育,訓練,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高雄市美濃區白馬名家宋屋學堂調查研究計畫,高雄市,美濃區,白馬,名家,宋屋,學堂,調查,研究,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
評估熱不穩定性腸毒素(heat-labile enterotoxin LT)在過敏氣喘的臨床應用,評估,熱,不,穩定性,腸毒素,(,heat-labile enterotoxin LT,),在,過敏,氣喘,的,臨床,應用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
八掌溪口沙洲變遷調查評估,八掌,溪口,沙洲,變遷,調查,評估,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利用蛋白質體分析方法對醫療用抗體藥品Actemra(計畫代號:C14010)之高級結構進行鑑定與分析,利用,蛋白質體,分析,方法,對,醫療用,抗體,藥品,Actemra,(,計畫,代號,:C,14010,),之,高級,結構,進行,鑑定,與,分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3in5　pitching　英文投資簡報競賽,3in5　pitching　,英文,投資,簡報,競賽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
經合會/經建會對臺灣空間規劃發展之影響,經合會,/,經建會,對,臺灣,空間,規劃,發展,之,影響,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺鐵旅客列車誤點診斷及改善建議,臺鐵,旅客,列車,誤點,診斷,及,改善,建議,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014第九屆北京文博會展場空間策展規劃案,2014,第九,屆,北京,文博會,展場,空間,策展,規劃案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高屏溪及林邊溪集水區土砂收支管理模式建置,高屏溪,及,林邊溪,集水區,土砂,收支,管理,模式,建置,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014台灣創意積層製造產品設計競賽,2014,台灣,創意,積層,製造,產品,設計,競賽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103年古蹟修復工程工地主任負責人培訓班委託專業服務案,103年,古蹟,修復,工程,工地,主任,負責人,培訓班,委託,專業,服務案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750W及1kW伺服馬達開發,750,W,及,1,kW,伺服,馬達,開發,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
土壤污染管制標準之趨勢與永續台灣之展望,土壤,污染,管制,標準,之,趨勢,與,永續,台灣,之,展望,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水足跡輔導計畫,水足跡,輔導,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雙攝影機書籍翻拍系統,雙攝影機,書籍,翻拍,系統,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
溫室氣體盤查及產品碳足跡輔導計畫,溫室,氣體,盤查,及,產品,碳足跡,輔導,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
石墨流道流場與壓降阻力分析(採購單號:3000407848),石墨,流道,流場,與,壓降,阻力,分析,(,採購,單號,:3000407848),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
螢幕視訊之異質性內容對編碼技術之效能影響(採購單號:3000411252),螢幕,視訊,之,異質性,內容,對,編碼,技術,之,效能,影響,(,採購,單號,:3000411252),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
隔熱建材產業聯盟輔導,隔熱,建材,產業,聯盟,輔導,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
應用矽基氣凝膠提升隔熱防火性能之可行性研究,應用,矽基氣,凝膠,提升,隔熱,防火,性能,之,可行性,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第16屆亞太管理研討會(16th　Asia　Pacific　Management　Conference),第16,屆,亞太,管理,研討會,(,16,th　,Asia　,Pacific　Management　Conference,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103年度台灣生態農業與生物資材雲端驗證系統驗証師,103年度,台灣,生態,農業,與,生物,資材,雲端,驗證,系統,驗証師,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都市設計應用碳排放量及生態績效評估規劃案,都市,設計,應用,碳,排放量,及,生態,績效,評估,規劃案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
應用煉鋼副產品結合牡蠣養殖開發淨化近海與河口水質環境之生物工程系統計畫,應用,煉鋼,副產品,結合,牡蠣,養殖,開發,淨化,近海,與,河口,水質,環境,之,生物,工程,系統,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
光學　spray　check　感測器技術及裝置開發,光學,　spray　check　,感測器,技術,及,裝置,開發,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
複合型地質災害潛勢調查分析、試點地區劃定及可行性評估、試點地區老舊建物安全評估及改善方式建議、防災型都市再生宣導座談會企劃及專業諮詢委辦案,複合型,地質,災害,潛勢,調查,分析,、,試點,地區,劃定,及,可行性,評估,、,試點,地區,老舊,建物,安全,評估,及,改善,方式,建議,、,防災型,都市,再生,宣導,座談會,企劃,及,專業,諮詢委,辦案,,,,,,,,,,,,,,,,,,,,
25CM彩色正射影像數值地圖暨1/5000向量式完整版電子地圖更新製作(案號︰B0303Y121H),25,CM,彩色,正,射,影像,數值,地圖,暨,1/5000,向量式,完整版,電子,地圖,更新,製作,(,案號,︰,B0303,Y,121,H,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
瀝青混凝土駐廠試驗訓練班,瀝青,混凝土,駐,廠,試驗,訓練班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
白河水庫集水區崩塌變遷分析暨風險評估模式建立,白河,水庫,集水區,崩塌,變遷,分析,暨,風險,評估,模式,建立,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文創商品,文創,商品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小型企業人力提升計畫,小型,企業,人力,提升,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
期貨選擇權交易策略班,期貨,選擇權,交易,策略,班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偵測作假身故保險理賠系統產學推廣,偵測,作,假身,故,保險,理賠,系統,產學,推廣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
發現新南科─在地文創元素之智慧互動平台開發計畫,發現,新南科,─,在地文,創,元素,之,智慧,互動,平台,開發,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
